,short_ma,long_ma,signal,regime,cumulative_return,sharpe
1266,9,51,15,1.0,1.0063815576171875,0.005553513990210778
1168,7,51,18,1.0,1.006187352294922,0.0054474593348787514
1249,9,42,20,1.0,1.0050435577392591,0.004391150484863178
1289,9,60,20,1.0,1.0045320037841805,0.004006065282229956
1386,10,60,15,1.0,1.0043599291992191,0.0037893930529135224
1683,15,60,10,1.0,1.0043599291992191,0.0037893930529135224
1357,10,46,16,1.0,1.003765191040039,0.003281431172144067
1455,12,46,13,1.0,1.003765191040039,0.003281431172144067
1555,13,46,13,1.0,1.003765191040039,0.003281431172144067
1564,13,51,11,1.0,1.003765191040039,0.003281431172144067
1654,15,46,11,1.0,1.003765191040039,0.003281431172144067
1753,16,46,10,1.0,1.003765191040039,0.003281431172144067
1267,9,51,16,1.0,1.0033735888671875,0.0029400400430344685
1474,12,55,11,1.0,1.0033735888671875,0.0029400400430344685
1358,10,46,18,1.0,1.0020712396240226,0.0018118997922925803
1565,13,51,13,1.0,1.0020712396240226,0.0018118997922925803
1664,15,51,11,1.0,1.0020712396240226,0.0018118997922925803
1853,18,46,10,1.0,1.0020712396240226,0.0018118997922925803
1259,9,46,20,1.0,1.0016796374511712,0.0014692793468688843
1475,12,55,13,1.0,1.0016796374511712,0.0014692793468688843
1674,15,55,11,1.0,1.0016796374511712,0.0014692793468688843
1844,18,42,11,1.0,1.00161719909668,0.0014171913414546048
1598,15,20,18,1.0,1.0014472454833987,0.001227595664208079
1796,18,20,15,1.0,1.0014472454833987,0.001227595664208079
1546,13,42,15,1.0,1.0013224658203133,0.001159569049171105
1636,15,37,15,1.0,1.0013224658203133,0.001159569049171105
1645,15,42,13,1.0,1.0013224658203133,0.001159569049171105
1924,20,37,11,1.0,1.0013224658203133,0.001159569049171105
1198,9,20,18,1.0,1.0000420001220702,3.613491531894969e-05
1297,10,20,16,1.0,1.0000420001220702,3.613491531894969e-05
1404,12,24,11,1.0,1.0000420001220702,3.613491531894969e-05
1693,16,20,10,1.0,1.0000420001220702,3.613491531894969e-05
1258,9,46,18,1.0,0.9981331597900388,-0.0016312930575867603
1465,12,51,13,1.0,0.9981331597900388,-0.0016312930575867603
1542,13,42,8,1.0,0.9980234594726568,-0.001748844066171585
1809,18,24,20,1.0,0.9978513061523426,-0.0018215689460632759
1898,20,24,18,1.0,0.9978513061523426,-0.0018215689460632759
1366,10,51,15,1.0,0.9977415576171876,-0.0019734178050436653
