,short_ma,long_ma,signal,regime,cumulative_return,sharpe
516,15,37,10,,1.6100865287780848,0.27630366953362584
517,18,20,10,,1.6087038077545184,0.2794697472667009
518,15,46,8,,1.6086568343353254,0.2761116962955897
519,13,28,11,,1.6085924129486147,0.277757941223689
520,12,24,15,,1.6083127010726945,0.2773874742581845
521,6,37,20,,1.6082689025115944,0.27856090934717276
522,15,24,11,,1.6078160451126087,0.2776822775692267
523,9,24,15,,1.6051035505294826,0.2772831712091061
524,12,24,20,,1.6036135258865405,0.27110716553256275
525,10,20,20,,1.6034273406219532,0.27622787295428397
526,10,60,13,,1.6027072230911217,0.2793646773174712
527,10,20,18,,1.5994282498550465,0.27614577228642523
528,16,28,11,,1.5986650960159379,0.2734527810933378
529,16,24,10,,1.598209141960146,0.2740537243230004
530,10,60,11,,1.5975440394973817,0.27769596623173937
531,13,42,11,,1.5975349849319473,0.2719348757940226
532,13,20,16,,1.5972185227203421,0.27316775891679657
533,16,20,16,,1.5966196297836328,0.26949515904290716
534,12,55,10,,1.5956737755584738,0.273849690671026
535,13,24,13,,1.5944597616577154,0.2729980836876266
536,9,46,13,,1.5933614207839961,0.2708983455409709
537,10,37,15,,1.5931757196426435,0.27019953070675634
538,9,33,18,,1.593070967826837,0.26989386042814223
539,13,20,13,,1.5895722974395685,0.27203648599620955
540,10,24,16,,1.588924298019404,0.2707109644619835
541,20,33,8,,1.586495971870417,0.26800123006561466
542,7,55,18,,1.585625573463439,0.2730075792287411
543,13,28,18,,1.5855904102325402,0.2638098581271858
544,20,46,20,,1.5839028172683742,0.2627537118835997
545,7,28,20,,1.5836330505371017,0.2681479477375041
546,10,24,18,,1.582827362785334,0.26868601617737226
547,16,20,10,,1.582790688056941,0.268592267308706
548,18,28,13,,1.5822975593948365,0.2625898742274823
549,10,20,16,,1.5815815150451689,0.26815648989072977
550,18,24,13,,1.5813655318069444,0.26326720896141736
551,16,20,11,,1.5806673059082033,0.26930763242199873
552,6,42,20,,1.579939527778618,0.2676029490575198
553,12,20,15,,1.579083694534302,0.2686634211721918
554,12,33,10,,1.577547465476984,0.26701703713718317
555,13,24,18,,1.5773730867767282,0.2618914499508006
556,7,46,18,,1.5769752333831706,0.26660200187046346
557,13,37,10,,1.5766804990387004,0.2651847760466181
558,9,51,13,,1.5763234051132198,0.2665890187198082
559,7,37,18,,1.5742661247253442,0.2640663620958015
560,7,33,20,,1.5723953814315779,0.26378651946232234
561,12,42,10,,1.5706213496398898,0.26293923521562224
562,20,24,10,,1.5699095912933347,0.2622739897579517
563,9,60,15,,1.5696943937301695,0.26641014975543736
564,15,33,10,,1.5690859495163034,0.26246609826400324
565,9,37,15,,1.5633339790725758,0.26076968426181174
566,16,20,18,,1.5629101491165147,0.255819684127174
567,18,20,16,,1.5629101491165147,0.255819684127174
568,9,20,18,,1.5618372427749634,0.26203485523710845
569,9,33,13,,1.5610513659667926,0.26074956220362067
570,10,60,18,,1.5609673496246366,0.2541851862843801
571,13,37,11,,1.5599975456619222,0.25860633764027247
572,15,24,15,,1.5599206417846692,0.2559616918810416
573,13,33,10,,1.5581849352645907,0.25861029680116954
574,15,20,18,,1.5573456630706841,0.25476719225254985
575,18,20,15,,1.5573456630706841,0.25476719225254985
576,15,33,11,,1.5573237101745652,0.256724074059242
577,13,20,11,,1.5568151121521048,0.2611575514448163
578,12,20,20,,1.5552510951614393,0.2560339662636127
579,7,24,5,,1.5534122434234552,0.25413053262235535
580,18,60,10,,1.5532295927047686,0.25129956016060334
581,12,46,11,,1.5532045817947375,0.2553042766145624
582,13,33,16,,1.5527450716400162,0.2515182706836653
583,13,24,20,,1.5521277134323117,0.2514339396219254
584,20,24,13,,1.552038624153139,0.25137305916963315
585,16,28,13,,1.5520009826660222,0.252370945971692
586,16,33,13,,1.551977235565187,0.2512381330243199
587,12,33,13,,1.55123705169678,0.25570048457378286
588,20,51,20,,1.5508163368606545,0.25175187067537574
589,10,33,15,,1.5495777932739263,0.25521918256077575
590,13,28,16,,1.5486606105804448,0.25111832803677975
591,10,37,13,,1.5480111492538418,0.25450596493049804
592,15,20,16,,1.546984522056577,0.2526063477073883
593,16,20,15,,1.546984522056577,0.2526063477073883
594,18,60,18,,1.5439052852630595,0.25094345556491665
595,7,37,20,,1.5425498687744152,0.2519211039124435
596,12,60,10,,1.5416686580657988,0.2556709722389872
597,15,28,8,,1.5407186552810668,0.2538300108724179
598,18,20,11,,1.5393819815063412,0.2520377570750639
599,13,20,20,,1.5392833681488043,0.24843470688021868
600,10,33,13,,1.5378159666824354,0.2509903619523115
601,12,28,10,,1.5374679232406592,0.25242986742807855
602,12,20,16,,1.536511997947695,0.2515889069342494
603,9,33,16,,1.5297862580108663,0.24795144633668517
604,20,55,8,,1.5269572275543217,0.24588141962042176
605,10,24,20,,1.5262263565826377,0.24601371116096798
606,12,51,10,,1.5251087440109299,0.2447493949252445
607,15,33,8,,1.5242169195938131,0.2464975823220455
608,6,24,6,,1.5235841571807853,0.24403628844546885
609,20,60,16,,1.5222406451034547,0.242837169262656
610,16,60,20,,1.5222406451034547,0.242837169262656
