,short_ma,long_ma,signal,cumulative_return,sharpe
3109,10,50,10,0.8734268408203107,-0.05110571505151659
586,6,56,15,0.8733420550537132,-0.05115043005659942
585,6,56,14,0.8732682818603476,-0.05106214255684126
1337,8,21,14,0.8731528430175776,-0.05065147087905934
5267,14,21,8,0.873120500488277,-0.05066575153970083
162,6,30,7,0.8730186096191409,-0.05006516084334912
817,7,30,6,0.8730186096191409,-0.05006516084334912
4242,12,39,7,0.8730118109130871,-0.05122120752240314
4770,13,31,7,0.8724945086669863,-0.05140286417677624
840,7,31,13,0.8724945086669863,-0.05140286417677624
2437,9,49,10,0.8723878491210969,-0.05147930466546556
3092,10,49,9,0.8723878491210969,-0.05147930466546556
7953,18,25,6,0.8723630725097633,-0.05146330598852352
912,7,36,5,0.8717353399658173,-0.05044222214943041
5248,14,20,5,0.8717188330078122,-0.05067647387536242
2468,9,51,9,0.8716529199218731,-0.05181147028758326
257,6,36,6,0.8714208673095699,-0.050698909469024285
25,6,21,14,0.8713949810790995,-0.05078681547429249
5265,14,21,6,0.8713949810790995,-0.05078681547429249
738,7,25,7,0.8713632470703153,-0.050759560166320786
2388,9,46,9,0.87133017089844,-0.05188950734468131
3907,11,59,8,0.8710076367187504,-0.052046537781411495
3268,10,60,9,0.8708498291015611,-0.0521749190881923
2613,9,60,10,0.8708498291015611,-0.0521749190881923
5681,14,47,6,0.8704153112792979,-0.05231205918441507
1256,7,57,13,0.8702015203857421,-0.052453134249097776
6817,16,36,6,0.8692648767089832,-0.052842323908074536
2036,9,24,9,0.8691237292480453,-0.05181211329020598
337,6,41,6,0.8687361639404254,-0.05200313526254093
306,6,39,7,0.868088885498047,-0.05224579433884365
961,7,39,6,0.868088885498047,-0.05224579433884365
928,7,37,5,0.8680168914794909,-0.05206345887004834
9680,20,52,5,0.8678795599365228,-0.0533381667204265
2501,9,53,10,0.8678776464843769,-0.05333785425155704
3156,10,53,9,0.8678776464843769,-0.05333785425155704
2003,9,22,8,0.8678531268310486,-0.0523854914029748
3252,10,59,9,0.8676854693603518,-0.053546408224696605
2597,9,59,10,0.8676376702880849,-0.053559815227541704
569,6,55,14,0.8674992645263656,-0.053515260730309246
7600,17,44,5,0.8672767358398463,-0.05361337781849579
180,6,31,9,0.8672453753662049,-0.05235997798299674
2145,9,31,6,0.8672453753662049,-0.05235997798299674
141,6,28,18,0.8671771887207027,-0.05355288933387701
3475,11,32,8,0.8670620349121111,-0.053702319772693324
1510,8,32,11,0.8670620349121111,-0.053702319772693324
6481,15,56,6,0.8669101477050746,-0.05390738415530117
2080,9,27,5,0.866810869140622,-0.05263608292039824
4738,13,29,7,0.8667306750488282,-0.053857290868116726
808,7,29,13,0.8667306750488282,-0.053857290868116726
47,6,22,20,0.8664543988037131,-0.05389177185164163
2691,10,24,8,0.8663556872558602,-0.05295490344300373
1381,8,24,10,0.8663556872558602,-0.05295490344300373
1393,8,25,6,0.8662927703857388,-0.05291002861635766
3634,11,42,7,0.8661528857421876,-0.054146562228657276
1014,7,42,11,0.8661528857421876,-0.054146562228657276
249,6,35,14,0.8655314660644507,-0.0542290300220529
4194,12,36,7,0.8654261517333972,-0.05426280430829346
919,7,36,12,0.8654261517333972,-0.05426280430829346
320,6,40,5,0.8653006286621092,-0.05343068517006762
9201,20,22,6,0.865298096923831,-0.0544025651035093
1336,8,21,13,0.8652851306152348,-0.05352862834209183
4611,13,21,8,0.8652851306152348,-0.05352862834209183
3586,11,39,7,0.8650935858154317,-0.05443468367303066
966,7,39,11,0.8650935858154317,-0.05443468367303066
2083,9,27,8,0.8650612945556618,-0.053316543397122745
1428,8,27,9,0.8650612945556618,-0.053316543397122745
1488,8,31,5,0.8646172650146491,-0.053532622897358155
2753,10,28,6,0.864542183227538,-0.05357238015106971
1128,7,49,13,0.8645004315185543,-0.05484657843053368
1958,8,60,11,0.864482987060546,-0.05492592934791772
133,6,28,10,0.8644438580322246,-0.05360281424612401
210,6,33,7,0.864355797729496,-0.05364431328969773
865,7,33,6,0.864355797729496,-0.05364431328969773
7568,17,42,5,0.8643019073486317,-0.05487922746315239
3362,11,25,7,0.8639549340820302,-0.053954137766359794
742,7,25,11,0.8639549340820302,-0.053954137766359794
1521,8,33,6,0.8639351959228547,-0.0538974398384501
211,6,33,8,0.8639351959228547,-0.0538974398384501
5186,13,57,7,0.8638140209960926,-0.05524158096034876
2675,10,23,8,0.8634192480468781,-0.05416312872683092
1365,8,23,10,0.8634192480468781,-0.05416312872683092
690,7,22,7,0.863325510253905,-0.05438471416474899
882,7,34,7,0.8627020629882736,-0.05441657045715861
757,7,26,10,0.8626797625732409,-0.05429247544495369
2722,10,26,7,0.8626797625732409,-0.05429247544495369
6560,16,20,5,0.862358984985349,-0.054700692980253304
8208,18,41,5,0.861955771484376,-0.05588114897912536
1143,7,50,12,0.8609543035888644,-0.056500482361904004
4418,12,50,7,0.8609543035888644,-0.056500482361904004
809,7,29,14,0.8608012750244154,-0.056434874006837506
5394,14,29,7,0.8608012750244154,-0.056434874006837506
2947,10,40,8,0.8605873132324201,-0.05642844841424565
1637,8,40,10,0.8605873132324201,-0.05642844841424565
10,6,20,15,0.8601605841064452,-0.05565942408857268
5905,15,20,6,0.8601605841064452,-0.05565942408857268
1348,8,22,9,0.8601179113769541,-0.05565715797453263
3923,11,60,8,0.8601119921874988,-0.05677572011398291
2308,9,41,9,0.8601020666503848,-0.05669235142403544
2816,10,32,5,0.860066453857428,-0.055389946183854746
3985,12,23,6,0.8594690869140622,-0.05583234044220976
8272,18,45,5,0.8592200653076173,-0.05726352170007142
5489,14,35,6,0.8590832672119179,-0.05705607068995355
2112,9,29,5,0.8588439941406243,-0.055995791890444666
5825,14,56,6,0.8585080895996086,-0.057589295169783776
2034,9,24,7,0.8582697497558606,-0.05639979551203687
